timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678798012054,4527,Org_api_DELETE,204,NO CONTENT,org_API 1-1,,true,,1033,1781,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,0,0,234
1678798017052,1126,Org_api_DELETE,404,NOT FOUND,org_API 1-2,text,false,,1282,1781,2,2,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,1126,0,43
1678798022053,1190,Org_api_DELETE,204,NO CONTENT,org_API 1-3,,true,,1033,1781,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,0,0,71
1678798027052,367,Org_api_DELETE,204,NO CONTENT,org_API 1-4,,true,,1033,1781,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,0,0,65
1678798032051,1147,Org_api_DELETE,204,NO CONTENT,org_API 1-5,,true,,1033,1781,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,0,0,82
1678798037050,1127,Org_api_DELETE,204,NO CONTENT,org_API 1-6,,true,,1033,1781,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,0,0,62
1678798042050,368,Org_api_DELETE,204,NO CONTENT,org_API 1-7,,true,,1033,1781,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,0,0,61
1678798047051,1418,Org_api_DELETE,204,NO CONTENT,org_API 1-8,,true,,1033,1781,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,0,0,223
1678798052050,1154,Org_api_DELETE,204,NO CONTENT,org_API 1-9,,true,,1033,1781,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,0,0,52
1678798057048,351,Org_api_DELETE,204,NO CONTENT,org_API 1-10,,true,,1033,1781,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,0,0,64
1678798062049,1262,Org_api_DELETE,204,NO CONTENT,org_API 1-11,,true,,1033,1781,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,0,0,57
1678798067047,1164,Org_api_DELETE,204,NO CONTENT,org_API 1-12,,true,,1033,1781,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,0,0,73
