timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679036566156,360,Org_api_Retrieve,200,OK,org_API 1-1,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,360,0,69
1679036576154,334,Org_api_Retrieve,200,OK,org_API 1-2,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,334,0,65
1679036586168,473,Org_api_Retrieve,200,OK,org_API 1-3,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,473,0,178
1679036596155,393,Org_api_Retrieve,200,OK,org_API 1-4,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,393,0,71
1679036606155,1286,Org_api_Retrieve,200,OK,org_API 1-5,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,1286,0,97
1679036616155,1257,Org_api_Retrieve,200,OK,org_API 1-6,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,1257,0,147
1679036626155,1263,Org_api_Retrieve,200,OK,org_API 1-7,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,1263,0,143
1679036636165,1098,Org_api_Retrieve,200,OK,org_API 1-8,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,1098,0,90
1679036646157,1372,Org_api_Retrieve,200,OK,org_API 1-9,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,1372,0,146
1679036656159,1236,Org_api_Retrieve,200,OK,org_API 1-10,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,1236,0,129
1679036666166,362,Org_api_Retrieve,200,OK,org_API 1-11,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,362,0,65
1679036676166,1160,Org_api_Retrieve,200,OK,org_API 1-12,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,1160,0,115
1679036686159,328,Org_api_Retrieve,200,OK,org_API 1-13,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,328,0,59
1679036696161,60372,Org_api_Retrieve,504,Gateway Time-out,org_API 1-14,text,false,,1280,1759,7,7,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,60372,0,60
1679036706166,61143,Org_api_Retrieve,504,Gateway Time-out,org_API 1-15,text,false,,1280,1759,7,7,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,61143,0,164
1679036716166,61167,Org_api_Retrieve,504,Gateway Time-out,org_API 1-16,text,false,,1280,1759,7,7,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,61167,0,116
1679036726166,60477,Org_api_Retrieve,504,Gateway Time-out,org_API 1-17,text,false,,1280,1759,7,7,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,60477,0,208
1679036736162,54181,Org_api_Retrieve,200,OK,org_API 1-18,text,true,,2017,1759,6,6,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,54181,0,84
1679036746165,44178,Org_api_Retrieve,200,OK,org_API 1-19,text,true,,2017,1759,6,6,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,44178,0,167
1679036756164,34206,Org_api_Retrieve,200,OK,org_API 1-20,text,true,,2017,1759,4,4,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,34206,0,85
1679036786165,4255,Org_api_Retrieve,200,OK,org_API 1-23,text,true,,2017,1759,3,3,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,4255,0,185
1679036766155,24264,Org_api_Retrieve,200,OK,org_API 1-21,text,true,,2017,1759,3,3,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,24264,0,169
1679036776154,14266,Org_api_Retrieve,200,OK,org_API 1-22,text,true,,2017,1759,3,3,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,14266,0,115
1679036796165,386,Org_api_Retrieve,200,OK,org_API 1-24,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,386,0,98
1679036806156,1198,Org_api_Retrieve,200,OK,org_API 1-25,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,1198,0,114
1679036816155,376,Org_api_Retrieve,200,OK,org_API 1-26,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,375,0,90
1679036826165,1182,Org_api_Retrieve,200,OK,org_API 1-27,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,1182,0,129
1679036836164,381,Org_api_Retrieve,200,OK,org_API 1-28,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,381,0,109
1679036846156,1253,Org_api_Retrieve,200,OK,org_API 1-29,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,1253,0,248
1679036856156,335,Org_api_Retrieve,200,OK,org_API 1-30,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,335,0,58
1679036866164,1362,Org_api_Retrieve,200,OK,org_API 1-31,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,1362,0,338
1679036876164,1122,Org_api_Retrieve,200,OK,org_API 1-32,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,1122,0,97
1679036886156,330,Org_api_Retrieve,200,OK,org_API 1-33,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,330,0,55
1679036896154,1138,Org_api_Retrieve,200,OK,org_API 1-34,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,1138,0,80
