timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678711123536,3318,Org_api_Retrieve,200,OK,org_API 1-1,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,3318,0,203
1678711128548,1354,Org_api_Retrieve,200,OK,org_API 1-2,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,1354,0,210
1678711133538,1543,Org_api_Retrieve,200,OK,org_API 1-3,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,1543,0,508
1678711138537,3456,Org_api_Retrieve,200,OK,org_API 1-4,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,3456,0,2334
1678711143536,2399,Org_api_Retrieve,200,OK,org_API 1-5,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,2399,0,1185
1678711148536,834,Org_api_Retrieve,200,OK,org_API 1-6,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,834,0,94
1678711153538,375,Org_api_Retrieve,200,OK,org_API 1-7,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,375,0,87
1678711158536,5006,Org_api_Retrieve,200,OK,org_API 1-8,text,true,,2017,1759,2,2,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,5006,0,3471
1678711163537,738,Org_api_Retrieve,200,OK,org_API 1-9,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,738,0,304
1678711168542,518,Org_api_Retrieve,200,OK,org_API 1-10,text,true,,2017,1759,1,1,https://dev.api.digitalsurgery.cloud/dsp/api/org/organizations/0a2006a9-9f2a-4246-b377-080eaea38b01,518,0,70
